¸ú×ÙÂ·¾¶3
X(mm), Y(mm), Z(mm)
-565.434177154056, -1520.48664833328, -95.1803702305456
-554.463684354917, -1519.52042070335, -95.1984490007266
-543.500533162158, -1518.47428562578, -95.2216645637846
-532.54540946619, -1517.34731379003, -95.2500790508139
-521.599021290992, -1516.13857635854, -95.2837546508068
-510.662099122595, -1514.84714581743, -95.3227535575841
-499.735396214769, -1513.47209687331, -95.3671379136905
-488.819688869279, -1512.01250739663, -95.4169697512134
-477.915776687933, -1510.467459412, -95.4723109294843
-467.024482793587, -1508.83604013579, -95.5332230696401
-456.146654017085, -1507.11734306084, -95.5997674860325
-445.283161047111, -1505.3104690883, -95.6720051144807
-434.434898539793, -1503.41452770595, -95.7499964373891
-423.60278518484, -1501.42863821257, -95.8338014057532
-412.787763724958, -1499.35193098712, -95.9234793581108
-401.990800925257, -1497.18354880176, -96.0190889364963
-391.212887489299, -1494.92264817693, -96.1206879994897
-380.455037918519, -1492.56840077667, -96.2283335324713
-369.718290311702, -1490.11999484208, -96.3420815551978
-359.00370610135, -1487.57663666008, -96.4619870268736
-348.312369723745, -1484.93755206468, -96.5881037488758
-337.645388219706, -1482.20198796746, -96.7204842653402
-327.003890763225, -1479.36921391323, -96.8591797618482
-316.389028115187, -1476.43852365717, -97.0042399624441
-305.80197199983, -1473.40923675854, -97.1557130252858
-295.243914401598, -1470.28070018615, -97.3136454372223
-284.716066780577, -1467.05228993051, -97.4780819076279
-274.219659204877, -1463.72341261656, -97.6490652618619
-263.755939398765, -1460.29350711116, -97.8266363347313
-253.326171720018, -1456.76204607804, -98.0108338670277
-242.931996200187, -1453.12752418377, -98.201760607428
-232.57748553129, -1449.381902706, -98.3999465948443
-222.268000987643, -1445.51452407547, -98.6060943915699
-212.009364448756, -1441.51470860515, -98.8209098076174
-201.80790322429, -1437.37177522442, -99.0451007538968
-191.670496199634, -1433.07506621277, -99.2793758450155
-181.604617600156, -1428.61398378865, -99.5244422348287
-171.618376864022, -1423.97803982174, -99.7810025976681
-161.720552655136, -1419.15691984874, -100.049751171983
-151.920618605039, -1414.14056235371, -100.331368795356
-142.22875792491, -1408.91925392066, -100.626516880676
-132.655863639187, -1403.48374029693, -100.935830318073
-123.213520902797, -1397.82535263728, -101.259909335179
-113.913967766545, -1391.93614718448, -101.599310412739
-104.770030914097, -1385.80905543645, -101.954536430289
-95.7950334256152, -1379.43804046359, -102.326026307332
-87.0026724707031, -1372.81825373101, -102.714144492519
-78.40534051395, -1365.94803750935, -103.119046288207
-70.0066512358556, -1358.83726324777, -103.540115115101
-61.8062619727579, -1351.49954346236, -103.976479517768
-53.8028481547756, -1343.94827819856, -104.427277711934
-45.9942168621456, -1336.19653053968, -104.891665993931
-38.3774216143717, -1328.25693289065, -105.368825187953
-30.9488749207098, -1320.14161630224, -105.857965611679
-23.7044554512596, -1311.8621604942, -106.358330697439
-16.6396076860507, -1303.4295619557, -106.869199427957
-9.74943268348507, -1294.85421737091, -107.389887757174
-3.0287692752411, -1286.14591967028, -107.919749185934
3.52773448938099, -1277.3138641919, -108.458174652629
9.92555943526825, -1268.36666268832, -109.004591884405
16.1702623924305, -1259.31236320038, -109.558464337361
22.2674317068608, -1250.15847412466, -110.119289835343
28.2226503607665, -1240.91199108053, -110.686598999478
34.0414658990786, -1231.57942545005, -111.259953543701
39.7293663601022, -1222.16683369596, -111.838944496623
45.2917614417306, -1212.6798467651, -112.423190397101
50.7339681872028, -1203.12369905497, -113.012335499737
56.061200536695, -1193.50325656173, -113.606048017305
61.2785621594249, -1183.82304394261, -114.204018419499
66.3910420478407, -1174.08727031677, -114.805957801327
71.4035124221836, -1164.29985370076, -115.411596329577
76.3207285568716, -1154.46444403134, -116.020681771926
81.1473301923581, -1144.58444476776, -116.632978110531
85.8878442515787, -1134.66303309988, -117.248264239547
90.5466886245275, -1124.70317881025, -117.866332744417
95.128176821743, -1114.70766185263, -118.486988759752
99.6365233358865, -1104.67908872247, -119.11004890161
104.075849581215, -1094.61990770061, -119.735340269494
108.450190302838, -1084.53242305397, -120.362699513139
112.763500374875, -1074.41880828039, -120.991971958865
117.019661927943, -1064.28111848491, -121.623010790112
121.222491754495, -1054.1213019711, -122.255676277068
125.375748968566, -1043.94121113397, -122.889835049899
129.483142897459, -1033.74261273526, -123.525359410558
133.548341203244, -1023.52719764291, -124.162126677908
137.574978237677, -1013.29659011407, -124.800018561102
141.566663645699, -1003.05235670015, -125.438920556129
145.526991241276, -992.79601485233, -126.078721360426
149.459548188107, -982.529041306215, -126.719312300383
